id,parsedContent
a11, 차별 중국 전략 아시아 인프라 투자 은행 환경 문제 중국 전략 추진 국제 정세 변화 전략 중국 신창 타이 경제 상황 전략 중국 대외 정책 전략 전략 추진 경과 전략 추진 경과 일로 전략 전략 6대 경제 회랑 유라시아 대륙 교량 경제 회랑 중국 몽골 러시아 경제 회랑 중국 중앙아시아 서아시아 경제 회랑 중국 인도 차이 반 경제 회랑 중국 파키스탄 경제 회랑 바 방글라데시 중국 인도 미얀마 경제 회랑 전략 환경 전략 환경 전략 환경 아시아 인프라 투자 은행 환경 아시아 인프라 투자 은행 설립 경과 환경 규정 환경6대 경제 회랑 연선 국가 환경 실태 유라시아 대륙 교량 중국 몽골 러시아 경제 회랑 연선 국가 환경 실태 러시아 환경 실태 몽골 환경 실태 중국 중앙아시아 서아시아 경제 회랑 연선 국가 환경 실태 카자흐스탄 환경 실태 우즈베키스탄 환경 실태 중국 인도 차이나 동남아시아 경제 회랑 연선 국가 환경 실태 베트남 환경 실태 라오스 환경 실태 태국 환경 실태 말레이시아 환경 실태 방글라데시 중국 인도 미얀마 경제 회랑 연선 국가 환경 실태 미얀마 환경 실태 방글라데시 환경 실태 인도 환경 실태 중국 파키스탄 경제 회랑 연선 국가 파키스탄 환경 실태 4장 중국 전략 대응 유라시아 환경 전략 유라시아 환경 전략 수요 6대 경제 회랑 해양 실크 로드 환경 환경 전략 수요 전략 환경 이슈 대 국 입장 태도 유라시아 환경 전략 비전 환경 전략 추진 여건 유라시아 환경 전략 비전 유라시아 환경 전략 추진 전략 유라시아 이니셔티브 전략 연계 통 유라시아 환경 전략 추진 방 유라시아 이니셔티브 전략 연계 방 유라시아 이니셔티브 전략 연계 환경 전략 추진 방 5대 중점 추진 원칙 전략 환경 보호 
a12, 도시 기후 회복력 도시 기후 회복력 도시 기후 회복력 도시 기후 회복력 속성 도시 기후 회복력 지표 적용 도시 기후 회복력 지표 도시 기후 회복력 지표 측정 도시 기후 회복력 지수 적용 다양 역할 다양 생계 다양 고용 다양 취약 계층 경제 통합 토지 다양 임금결 정책 제언 한계 향후 
a13, 국내 지역 환경 보건 문제 진단 국내 지역 환경 보건 이슈 분포 특성 전국 실내 라돈 농도 분포 전국 폐암 사망자 분포 전국 광산 분포 전국 자연 발생 석면 석면 건축물 분포 환경 보건 문제 대 지자체 대응 역량 서울특별시 대전 광역시 충청남도 경기도 국내 지역 환경 보건 문제 대응 문제점 시사점지역 기반 환경 보건 정책 지원 프로그램 지역 환경 보건 실행 저감 미국 프로그램 따르다 지역 환경 보건 실행 유럽 국가 지역 환경 보건 실행 지역 거버넌스 국내 지역 거버넌스 국외 지역 거버넌스 지역 환경 보건 서비스 국외 지역 환경 보건 서비스 국내 지역 환경 보건 서비스 시사점 지역 환경 보건 실행 저감 지역 거버넌스 역할 방 지역 환경 보건 서비스지역 기반 환경 보건 정책 지원 프로그램 시범 실시 지역 기반 환경 보건 정책 지원 프로그램 시범 지역 선정 지역 기반 환경 보건 정책 지원 프로그램 시범 환경 보건 정책 지원 방안 지역 환경 보건 지역 환경 보건 문제 이슈 선정 저감 실행 말다 이행 과정 사후 모니터링 검토 지역 환경 보건 문제 해결 지역 기반 환경 보건 정책 지원 프로그램 국내 적용 방안 제시 시범 적용 통 기술 문제점 보완 방 환경 보건 정책 지원 방안 환경 보건 환경 보건 문제 순위 선정 저감 실행 말다 이행 과정 사후 모니터링 지역 기반 환경 보건 정책 지원 제도 개선 방 환경 보건 법 개정 지역 환경 보건 정책 지원 확대 행정 전문 제고 협력 구축
a14, 파리 협정 핵심 파리 협정 파리 협정 적응 손실 피해 적응 적응 원칙 기후 인식 제고 이해 관계자 참여 과학 지식 전통 지역 지식 활용 적응 주류 국제 협력 개별 노력 칸쿤 적응 체제 파리 협정 적응 국제 협력 파리 협정 적응 개별 노력 적응 정보 논의 적응 정보 지구 점검 말다 손실 피해 일어 현상 포괄 위험 기후 보험 경제 손실 피해 바 적응 재정국내외 국내외 적응 정책 국외 적응 정책 국내 적응 정책 적응 기후 변화 과학 지식 기후 변화 위험 정보 공유 전통 지식 활용 기후 이해 관계자 참여 기후 기후 적응 정책 기후 변화 인식 정책 손실 피해 포괄 기후 변화 위험 보험 손실 피해 기초 대응 방안 핵심 의제 대응 기후 인식 제고 이해 관계자 참여 기후 변화 적응 지식 활용 공유 기후 변화 적응 주류 말다 기후 변화 적응 정책 효과 강화 바 손실 피해 정보 지식 강화 사다 손실 피해 대응 포괄 위험 기후 변화 적응 손실 피해 대응 방안
a15, 차별친환경 차 보급 정책 동향 국내 정책 동향 국외 정책 동향 친환경 차 보급 정책 효과친환경 차 적정 보조금 수준 친환경 차 보급 따르다 환경 비용 절감 효과 친환경 차 보급 정책 대 경제 친환경 차 구매 따르다 수익 소결 제언 정책 제언 선 도국 친환경 차 보급 정책
a16, 경유 차 실 도로 대기 오염 물질 초과 배출 원인 경유 차 배출 허용 기준 강화 배출 가스 저감 기술 경유 차 배출 가스 인증 시험 모드 질소 산화물 배출 량 경유 자동차 실 도로 주행 시 질소 산화물 과다 배출 경유 자동차 실 도로 주행 시 질소 산화물 조작 경유 차 실 도로 대기 오염 물질 초과 배출 따르다 비용 산정 대기 오염 물질 초과 배출 따르다 비용 산정대안 제시 실 도로 배출 기준 도입 효과 시다 도로 배출 기준 도입 따르다 편익 산정 
a17, 접근 국내 정화 곤란 부지 시사점 건설 기계 시운전 부지 해군 부지 동 부지 서울 동서 터미널 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 교각 하부 부지 유류 중대 인근 철도 부지 부산 감천 도로 부지 석유 화학 부지 구내 부지 구내 부지 캠프 건물 부지 석유 화학 공장 부지 국내 정화 곤란 부지 시사점선진 외국 도로 철도 시설 오염 부지 정화 스트링펠로우 유해 폐기물 매립 부지 웨스턴 퍼시픽 철도 회사 부지 트레저 아일랜드 해군기지 헌터스 포인트 트리플 부지 외국 오염 부지 정화 시사점정화 곤란 부지 방안 개선 개선 토양 환경 보전 법 개정 안 개정 따르다 지침 개정 안 호주 오염 부지 매매 법 제도 서류
a18, 과업 과업 실행 생물 다양 정책 여건 중간 점검 틀 지표 3차 중간 지원 국가 생물 다양 전략 이행 상황 안 마련 과업 추진 국내외 실행 점검 국제 점검 시사점 점검 의제 각국 생물 다양 지표 요국 점검 세계 유럽 독일 중국 말다 일본 종합 국가 이행 상황 점검 종합 국내외 이행 점검 시사점점검 지표 설정 국내외 점검 지표 생물 다양 지표 파트너십 유럽 연합 독일 중국 말다 일본 바 우리 나라 국내외 점검 지표 비교 시사점 점검 지표 설정중간 점검 중간 점검 부처 자체 점검 전문가 부처 중간 점검 생물 다양 주류 생물 다양 보전 강화 생물 다양 위협 요인 저감 생태 서비스 지속 가능 말다 생물 다양 구축 바 생물 다양 국제 협력 강화 중간 점검 종합 달성 전략 국가 생물 다양 전략 이행 상황 안 마련 중간 점검 종합 부처 추진 협조 이치 타다 달성 점검 향후 추진 홍보물 제작 배포 제출 6차 국가 반영 4차 반영 관계 부처 법정 점검 반영 참다 물다
a19,지속 가능 발전 87년 환경 관 세계 위원회 발표 우리 공동 미래 알리다 따르다 지속 가능 발전 미래 세대 충족 수 있다 능력 훼손 세대 충족 발전 말 지속 가능 발전 브라질 리우 데 자네 에서 92년 개최 되다 유엔 환경 회의 회의 환경 건전 지속 가능 발전 환경 경제 통합 발전 02년 지속 가능 발전 세계 정상 회의 환경 경제 통합 균형 지향 인류 보편 발전 전략 정착 92년 리우 선언 의제 채택 의제 각국 정부 경제 환경 균형 통합 되다 방식 달성 국가 지속 가능 발전 전략 채택 명시 97년 개최 되다 유엔 총회 특별 세션 나라 02년 국가 지속 가능 발전 전략 합의 이러 유럽 국가 중심 많다 국가 국가 지속 가능 발전 전략 영국 세계 최초 94년 국가 지속 가능 발전 전략 독일 프랑스 02년 03년 01년 차원 지속 가능 발전 전략 현재 대부분 유럽 국가 국가 지속 가능 발전 전략 시행 12년 지속 가능 발전 회의 지 20년 간 걸치다 국 지속 가능 발전 노력 점검 결의문 우리 원 미래 통 지속 가능 발전 설정 합의 후 3년 걸치다 진행 되다 후속 논의 바탕 15년 9월 70차 유엔 총회 17개 169개 세부 되다 지속 가능 발전 담다 지속 가능 발전 의제 채택 지속 가능 발전 과거 성장 위주 발생 되다 평등 환경 파괴 등 문제 해결 가지다 동시 선진국 상국 모두 적용 이해 당사자 협력 통 이행 보편 과감 혁신 세부 이행 담다 지속 가능 발전 이행 되다 5대 행동 영역 사람 지구 번영 평화 파트너십 제시 되다 빈곤 해소 본질 궁극 지구 지속 가능 발전 필수 요건 강조 제시 세부 이행 인권 실현 양성 평등 여성 소녀 역량 강화 포함 지속 가능 발전 핵심 축이다 경제 번영 통합 환경 보존 균형 있다 통합 고민 반영 강상인 외 지속 가능 발전 의제 이행 상황 유엔 고위급 정치 포럼 점검 예정 개별 국가 지구 차원 지속 가능 발전 효과 이행 다양 논의 진행 중 있다
a20, 국외 지지다 공원 동향 유네스코 아시아 태평양 세계 지지다 공원 망 세계 지지다 공원 인증 인증 강화 대응 방안 인증 인증 자체 표 변화 국외 지지다 공원 활동 시사점국내 지지다 공원 국내 지지다 공원 활동 지지다 공원 제도 문제점 지지다 공원 개선 세계 지지다 공원 추진 시 고려 4장 지지다 공원 제도 개선 방안 지지다 공원 제도 개선 법규 지지다 공원 인증 개선 방 제언 제언 지지다 공원 인증 세부 기준 일부 개정 안 국제 지구 과학 및다 공원 프로그램 법규 유네스코 세계 지지다 공원 자체 표 인증 시 유네스코 세계 지지다 공원 자체 표 인증 시 일부 임무 인증 임무 양식
a21, 시스템 네트워크 언어미래 환경 정책 에너지 활용 규모 축소 화석 연료 경제 발전 에너지 고려 에너지 규모 축소 자기 조직 기능 활용 자기 조직 되먹임 과정 생태 경제 연계 시스템 차원 가치 통 자원 평등 효율 해소 자연 자원 가치 대 에너지 질 물리학 접근 법 환경 자원 평등 실질 부 실현 말다 자원 효율 분배 정책 시스템 공간 분산 지역 공간 위계 분포 척 없다 네트워크 분산 지역 지속 가능 환경 시스템 정보 회복 탄력 제고 정보 관 시스템 회복 탄력 네트워크 회복 탄력
a22, 국가 지역 미래 성장 동력 미래 성장 동력 미래 성장 동력 환경 방안 미래 성장 동력 192개 환경 방안 마련 미래 성장 동력 환경 방미래 성장 동력 지원 촉진 법 제도 환경 방안 규 제프리 존 제한구역 조정 도시 변경 안 지침 도시 지역 보전 지역 경우 전제 도시 위원회 심의 거치다 허용 확대 산지 농지 규제 완화 태양광 활성 하천 부지 태양광 설비 설치 허용 등 규제 해제 하천 점용 허가제 개선미래 성장 동력 환경영향 방안 로드맵 미래 성장 동력 환경영향 방안 로드맵결 국가 지역 미래 성장 동력 전수 
a23, 국가 지역 미래 성장 동력 미래 성장 동력 미래 성장 동력 환경 방안 미래 성장 동력 192개 환경 방안 마련 미래 성장 동력 환경 방미래 성장 동력 지원 촉진 법 제도 환경 방안 규 제프리 존 제한구역 조정 도시 변경 안 지침 도시 지역 보전 지역 경우 전제 도시 위원회 심의 거치다 허용 확대 산지 농지 규제 완화 태양광 활성 하천 부지 태양광 설비 설치 허용 등 규제 해제 하천 점용 허가제 개선미래 성장 동력 환경영향 방안 로드맵 미래 성장 동력 환경영향 방안 로드맵결 국가 지역 미래 성장 동력 전수 
a24, 정책 정부 패러다임 주민수 용성 정책 주민수 용성 주민 수용성 지역 수용성 결정 요인 공간 주민 수용성 제도 활용 방안 정부 패러다임 연계 제도 활용 방 제언 제언 설문지 지역 수용성 설문지 차년 공간 계량 
a25, 차별국내외 재해 폐기물 제도 비교 국내 수해 폐기물 발생 처리 수해 폐기물 발생 특성 수해 폐기물 발생 처리 국내외 재해 폐기물 지침 제도 비교 일본 미국 호주 국제 기다 국내 국내외 재해 폐기물 발생량 산정 비교 일본 미국 호주 대만 말다 국내 해외 통 시사점 문제점 지역 선정 지역 선정 지역 현장 실무자 인터뷰 부산시 수해 폐기물 문제점 지침 내 지역 특성 미 반영 도심 지역 2차 임시 환장 확보 어려움 수해 폐기물 성상 구체 처리 부재 통계 간 수해 폐기물 발생량 분류 상공간 정보 구축 폐기물 처리 시설 입지 공간 정보 구축 활용 폐기물 처리 시설 공간 정보 구축 폐기물 처리 시설 종류별 공간 정보 구축 폐기물 처리 시설 공간 분포 수해 폐기물 처리 따르다 시간 감축 효과 비교 네트워크 활용 수 폐기물 처리 수해 폐기물 처리 네트워크 활용 공간 정보 연계 수 폐기물 성상 개선 방안 수해 폐기물 발생량 예측 사후 성상 발생량 산정 방 피해 지역 지리 정보 활용 사전 발생량 예측 지자체 지리 여건 고려 지역 유형 발생량 예측 사후 성상 발생량 산정 2차 임시 환장 부지 선정 방 2차 임시 환장 부지 선정 안 2차 임시 환장 배치 개선 안 중간 처리 처분 시설 사전 협의 공간 정보 연계 수 폐기물 광역 처리 부산시 공간 정보 최적 경로 도출 시사점 수해 폐기물 성상 구체 처리 방안 마련 사후 측면 통계 구축 방 통계 구축 매립지 수해 폐기물 처분 지침 제언 수해 폐기물 개선 제언 효율 광역 처리 지원 근거 마련 지자체 단위 수해 폐기물 지침 마련 향후 도출 사진 촬영 기법 성상 수해 폐기물 발생량 산정 공간 정보 지진 등 환경 재난 따르다 재해 폐기물 폐기물 처리 시설 부산시 폐기물 처리 시설 분포 침수 흔적 전국 매립 시설 전체 용량 여유 용량 공간 데이터 코드 지자체 수해 폐기물 처리 지침 안
a26, 국내 폐기물 활용 활용 국내 폐기물 발생 활용 폐기물 품목 종류별 활용 활용 범주 국내외 활용 법 제도 국내 법 제도 국외 법 제도 국내 활용 대 지원 시사점 4장 활용 지원 방 영향 기존 의견 의견 설문지 설계 활용 활성 지원 방안 활용 활성 영향 조세 지원 따르다 경제 파급 효과 균형 모형 균형 모형 생산 소비 균형 모형 적용 되다 데이터 조세 지원 정책 따르다 효과 제언 정책 향후 대 제언 활용 활성 업계 의견 수렴 설문지
a27, 전기 전자 제품 활용 정책 활용 국내 일본 국내 활용 정책 공정 비교 업 사이클링 업 사이클링 업 사이클링 재정 4장 폐자원 흐름 제품 선정 폐자원 흐름 전기 전자 제품 수거 냉장고 폐자원 흐름 컴퓨터 폐자원 흐름 5장 업 사이클링 활성 방안 폐자원 흐름 통 업 사이클링 기술 도입 방안 검토 폐자원 흐름 업 사이클링 활성 방 제언 정책 제언 일본 가전리 사이클 연차 내 상품 기술
a28, 물 환경 인프라 투자 수익 물 환경 인프라 투자 수익 물 환경 인프라 경제 환경 비용 편익 검토 비용 편익 물 환경 인프라 경제 환경 비용 편익 산정 하수 처리 시설 재투자 문제 농어촌 지역 하수 보급 문제물 환경 인프라 투자 하수 처리 시설 재투자 정책 농어촌 지역 하수 보급 투자 제언 설문 
a29, 자연 자본 여건 전망 자연 자본 특성 국내 자연 자본 여건 전망 종합 자연 자본 지수 환경 지수 지속 가능 지수 생태 지수 생물 다양 지수 종합 자연 자본 지속 가능 지수 자연 자본 지속 가능 지수 자연 자본 지속 가능 지수 자연 자본 지속 가능 지수 자연 자본 지속 가능 지수 지표 자연 자본 지속 가능 지수 제언 종합 향후
a30, 크리티컬 존 국내외 정책 동향 국외 크리티컬 존 동향 국외 크리티컬 존 정책 동향 국내 크리티컬 존 정책 동향크리티컬 존 환경 중요크리티컬 존 환경 미래 이슈 크리티컬 존 특성 반영 지중 환경 매체 정책 추진 난해 환경 문제 해결 크리티컬 존 활성 크리티컬 존 관측 프로그램 국가 마련 생태 서비스 크리티컬 존 서비스 확대 물 생태 에너지 토지 토양 지질 넥서스 통 지중 환경 
a31, 국내 외 환경 재난 사후 대응 정책 국내 환경 재난 사후 대응 정책 국외 환경 재난 사후 대응 정책 환경 재난 사후 대응 드론 환경 재난 사후 대응 환경 감시 가능 검토 드론 법 제도 드론 환경 재난 사후 대응 기술 가능 검토 드론 환경 재난 사후 대응 기술 시사점 드론 대기 수질 모니터링 기술 가능 검토 드론 대기 모니터링 기술 드론 수질 모니터링 기술 시사점 드론 재해 폐기물 체적 산출 가능 검토환경 재난 사후 대응 드론 활용 방안 제시결 
a32, 건물 지속 가능 건물 환경 주다 영향 측정 건물 지속 가능 건물 지속 가능 증진 국내외 국내 국외 4장 과정 활용 건물 지속 가능 과정 활용 건물 환경 부하 가 과정 과정 국내 과정 자재 생산 시공 사용 해체 폐기 과정 목록 데이터 구축 개별 산법 연관 법 혼합법 개별 산법 연관 변형 구축 국내 과정 프로그램 국내 프로그램 해외 프로그램 시사점건물 지속 가능 통 국토 합리 규제 환경 지속 가능 도시 건물 온실가스 감축 달성 정책 
a33, 기후 변화 노동자 대 영향 노동자 위험 대 임금 보상 대 노동자 임금 평등 대 기초 통계량 임금 함수 추정 분해 분해 결 
a34, 자율 주행 자율 주행 기술 자율 주행 미래 전망자율 주행 환경 영향 자율 주행 친환경 측면 자율 주행 반 환경 측면 자율 주행 종합 환경 영향 제언 
a35, 설문 합의 회의 공중 오픈 하우스 포커스 그룹 면담 주민 참여 제언 주민 참여 기능 방식 환경영향 이상 주민 참여 방안 적용 가능 주민 참여 방 제언 향후 
a36, 환경영향 지하 안전 영향 비교 지하 환경영향 지하 안전 영향 제도 비교 합리 규제 제도 연계 방안 조정 합리 연계 기반 마련 중복 공유 협의 절차 상 유기 연계 사후 영향 유기 연계제도 실행력 제고 정책 제언 지하 안전 영향 관 구체 지침 마련 환경영향 지하수 지침 마련 영향 질 제고 대행 비용 산정 기준 상향 조정 영향 대행업체 자격 강화 사후 환경 영향 사후 지하 안전 영향 통보 서식
a37, 대체 시험법 활용 화평 법 등록 문제점 시험 시험 비용 가능 대체 시험법 등록 시 대체 시험법 활용 시험법 활성 화평 법 지원 방안 시험법 대 전문 경험 확보 증거 가중치 대 명확 설정 시험 면제 시험 대체 대 법 구분 매뉴얼 지침 집 발간 추가 제출 추이 확인 등록 서류 확보 절차 마련 시험 등록 서류 시험 적용 가능 
a38, 차별 검토 파리 협정 함의 논의 검토 파리 협정 합의 함국내 문제점 국내 기후 변화 대응 정책 추진 연혁 기후 변화 정책 기구 기후 변화 대응 기후 변화 대응 입법 온실가스 감축 국내 문제점주 요국 시사점 영국 온실가스 감축 법 감축 이행 준수 기후 변화 정책 기구 영국 기후 변화 대응 특징 시사점 독일 온실가스 감축 감축 이행 기후 변화 정책 기구 독일 기후 변화 대응 특징 시사점 뉴질랜드 온실가스 감축 감축 이행 기후 변화 정책 기구 뉴질랜드 기후 변화 대응 특징 시사점 중국 온실가스 감축 감축 이행 기후 변화 정책 기구 중국 기후 변화 대응 특징 시사점 요국 종합 시사점 정책 제언 단기다 중 장기 기후 변화 대응 정책 총괄 조정 부처 당면 역할 
a39, 국내외 국내 국외 우리 나라 풍력 발전 진행 육상 풍력 진행 해상 풍력 진행 풍력 발전 적용 공공 활용 방안 육상 풍력 활용 공공 해상 풍력 활용 공공 제언 정책 제언 
a40,론 절차건강 성 기후 대기 환경 정책 건강 성 구분 기후 대기 환경 정책 활용 미국 비용 편익 대기 환경 향후 활용 가능 정책 시사점건강 성 건강 성 건강 성 건강 영향 수 해외 농도 반응함수 건강 성 차원 국내 건강 성 농도 반응함수 표준 안 시범 적용 표준 안 농도 반응함수 특성 농도 반응함수 대 메타 국내외 농도 반응함수 비교 농도 반응함수 표준 표준 안 활용 농도 반응함수 표준 안 가이드라인 시범 적용 시범 적용 구축 시범 적용 과거 비교 제언 대기 오염 건강 성 원리 건강 성 활용 되다 해외 농도 반응함수 표준 안 도출 시 활용 되다 논문 36개 목록 건강 성 농도 반응함수 국내 표준
a41, 차별교통 환경 정책 동향 국제기구 정책 동향 국가 정책 동향 시사점도로 이동오 염원 대기 환경 개선 효과 기존 시사점도로 이동오 염원 대기 환경 개선 효과 시나리오 대기 환경 개선 효과 제언 정책 제언 
a42, 국내외 화학 사고 제도 화학 물질 법 화학 사고 제도 장외 영향 국내외 화학 사고 영향 화학 사고 제도 내 영향 화학 사고 환경 영향 시사점 체 화학 사고 제도 이행 화관 법 대 국내 체 대응 화관 법 화학 사고 예방 제도 이행 시사점화학 물질 법 내 화학 사고 정책 제도 개선 안 도출 법령 고시 개정 부처 협의 정책 제언 향후 향후 미국 제도 공청회 
a43, 프로토타입 프로토타입 차년 방식 준비 입력 데이터 준비 입력 데이터 프로그램 구동 초기 테스트 동선호 법 이동 법 이동 가능 법 이동 추적법시뮬레이션 동물 이동 관측 비교 고라니 지역 지역 지역 삵 지역실제 장애 요소 간 관계 조건 설정 경사도 따르다 동물 투과 경사 이동 확률 경사 이동 확률 경사 이동 확률 라 경사 이동 확률 시뮬레이션 통로 장애물 위치 간 관계 통로 장애물 면적 관계 시작 지점 따르다 통과 비교 장애물 형태 따르다 통과토의 이동 이동 가능 변화 지역 시행 전 시행 후 이동 가능 비교 장애물 형태 따르다 이동 가능 법 최적 부지 형태 선정 한계 향후 동물 이동 영향 예측 프로그램 사용법 지형 장애물 표준 코드
