,V1,V2,V3,V4,V5
159,지자체의 보건의료시설 기후 회복력 강화ㆍ관리 방안 연구,"하종식,이정호,정옥진,강주연,유진병,배민기,",수시연구,2015-11-30,제1장 서 론1. 연구 배경 및 목적2. 연구 내용 및 절차제2장 기후변화 건강영향에서의 보건의료시설과 기후 회복력1. 기후변화로 인한 건강영향과 보건의료시설  가. 기후변화로 인한 보건의료시설의 영향  나. 기후변화로 인한 건강영향과 보건의료시설의 역할2. 보건의료시설의 기후 회복력제3장 해외 보건의료시설 기후 회복력 강화·관리 도구1. WHO의 보건의료시설 대응 전략  가. 보건의료시설의 기후변화에 대한 저감 대응  나. 비상 시 보건의료시설의 대응2. 미국의 보건의료시설 기후 회복력 강화·관리 도구  가. 미국 보건복지부의 보건의료시설 회복력 강화 보고서  나. 보건의료시설의 기후 회복력 평가점검표  다. 도구의 활용3. 캐나다의 보건의료시설 기후 회복력 강화？관리 도구  가. 보건의료시설의 기후 회복력 평가점검표  나. 보건의료시설의 기후 회복력 강화 사업 사례  다. 도구의 활용제4장 국내 보건의료시설의 기후변화 대응 현황1. 국내 공공보건의료기관 현황2. 보건의료시설의 재해·재난 대응 현황  가. 재난안전관리대책 현황  나. 보건의료시설 관련 공공시설 안전관리대책  다. 보건의료시설 관련 매뉴얼 현황  라. 보건의료시설의 재해·재난 대응과 기후 회복력 강화·관리 방안제5장 보건의료시설 기후 회복력 강화·관리 방안1. 한국형 보건의료시설 기후 회복력 강화·관리 도구의 개발방향2. 개발된 도구의 활용  가. 국가 기후변화 적응대책의 지자체 세부시행계획 수립에 활용  나. 공공보건의료계획 및 지역보건의료계획 수립의 활용 도구로 활용  다. 녹색건축 인증제도 내 보건의료시설에 특화된 도구로 활용  라. 의료기관인증제도의 평가 항목으로 활용제6장 요약 및 향후 과제1. 요약2. 향후 과제참고문헌Abstract                                    
160,기후변화와 생태계 변화에 기반한 침입외래종의 관리 전략,"박용하,김재욱,",수시연구,2015-11-30,"제1장 서 론제2장 외래종의 현황과 전망1. 외래종의 증가2. 외래종의 영향: 이익과 피해3. 외래종의 증가 요인제3장 기후변화와 생태계 기반 침입외래종 관리의 국내외 동향 및 사례1. 침입외래종의 생태계기반관리2. 우리나라의 정책3. 선진외국의 정책  가. 미국  나. 유럽연합  다. 영국  라. 호주4. 생물다양성협약에서의 침입외래종 관리 동향5. 기후변화를 고려한 침입외래종의 생태계기반관리 사례6. 시사점  가. 침입외래종의 생태계 기반 관리  나. 우리나라와 선진외국의 침입외래종 정책과 사례제4장 기후변화와 생태계기반 침입외래종의 관리전략1. 기후변화에 따른 침입외래종의 도입 및 정착, 확산 조사 및 예측 방법과 수단의 개발2. 기후변화와 침입외래종의 분포에 따른 지역별 관리3. 침입외래종의 모니터링과 빠른 경보체계 프로그램 구축4. 생태계의 복원력 제고5. 침입외래종의 인식제고, 교육과 홍보6. 연구 및 정보교환7. 법, 제도의 보완제5장 결론침고문헌Abstract                                    "
161,계획관리지역 토지이용 실태분석 및 환경관리 방안,"이영재,박지현,성찬용,",수시연구,2015-11-28,"제1장 서 론1. 연구의 배경 및 필요성2. 연구의 차별성 및 목적3. 연구의 범위 및 방법제2장 계획관리지역 내 난개발 사례 및 원인1. 계획관리지역 내 난개발 사례  가. 김포시  나. 화성시  다. 충청북도 음성군2. 계획관리지역 내 난개발의 원인제3장 기존 난개발 관리제도 및 문제점1. 난개발 방지를 위한 기존 관리제도2. 기존 관리제도의 문제점 및 한계3. 시사점제4장 계획관리지역 지정 과정1. 계획관리지역 개요 및 지정 과정  가. 개요  나. 지정 과정2. 주요 단계  가. 토지적성평가  나. 전략환경영향평가제5장 계획관리지역 내 공장입지 과정1. 공장 설립 절차  가. 개요  나. 공장입지선정 단계  다. 공장설립신청 및 승인 단계  라. 건축 단계  마. 공장설립완료 단계2. 공장 설립 관련 검토 사항  가. 산업통상자원부 소관 법률  나. 국토교통부 소관 법률   다. 환경부 소관 법률  라. 지자체 관련제6장 사후관리체계1. 사업장 관리·감독2. 공장 이전 또는 주민 이주  가. 마천일반산업단지 이전 추진  나. 여수국가 산업단지 주변 마을 주민 이주  다. 울산·온산 국가 산업단지 주변 마을 주민 이주제7장 계획관리지역 내 난개발 분석 방법론1. 개요2. 경관지수  가. 필지 단위(패치 단위) 주거-공업 혼재 지수  나. 경관조각 유형 단위 부정형성 지수  다. 방법론 활용방안  라. 방법론 활용 예시  마. 향후 연구 제안제8장 개선방안1. 계획관리지역 주거-공장 난개발 관련 문제점  가. 계획관리지역 지정 단계  나. 계획관리지역 내 공장입지 단계  다. 사후관리 단계2. 계획관리지역의 친환경적 관리방안  가. 계획관리지역 지정 단계  나. 공장입지 단계  다. 사후관리 단계참고 문헌부록Abstract최근 계획관리지역의 난개발 문제가 언론보도 등을 통해 다루어지면서 사회적인 관심과 우려를 불러왔다. 계획관리지역은 비도시지역 중에서 비교적 개발행위에 대한 제한이 적고 도시지역에 비해서는 지가가 낮은 특성이 있어 개발에 대한 체계적인 관리가 필요한 지역이다. 그러나 지자체에서는 지역경제 활성화, 사유재산권 보호 등의 이유로 비도시지역 내에서 비교적 개발이 자유로운 계획관리지역을 확충하는 추세이며 정책적으로 계획관리지역 내 입지규제도 지속적으로 완화되고 있는 실정이다. 때문에 계획관리지역 내 난개발을 방지하기 위한 체계적인 환경관리 방안 마련이 시급하다.계획관리지역 내 주거-공업 혼재에 의한 난개발이 발생하는 원인을 분석한 결과, 경제논리 및 개발수요와 연관된 정치·사회·경제적 측면에서의 문제와 제도의 운영·관리 측면에서의 문제점이 파악되었다. 특히 난개발을 관리하기 위한 다양한 제도가 이미 도입되어 운영되고 있으나 실효를 거두지 못하고 있는 상황이다.계획관리지역의 지정 단계에서부터 공장입지에 이르기까지 절차상의 문제점을 보다 면밀히 분석한 결과, 계획관리지역 지정 단계에서는 토지적성평가 방법론의 개발지향적 설계와 이에 적절히 대응하지 못하는 전략환경영향평가의 미비점이 문제점으로 파악되었다. 개별공장 입지 단계에서는 대기 및 수질 관련법상의 특정 유해물질 배출량 제한이 거의 유일한 규제 수단으로 작동하고 있으나 이마저도 철저한 검증이 어려운 실정이다. 이밖에 불법 전용에 대한 규제가 미비하고 사후관리 단계에서의 지자체 담당공무원의  관리단속이 실효성을 거두지 못하고 있는 실정이다.본 연구에서는 계획관리 지역 내 주거-공업 혼재에 따른 난개발 정도 분석을 위한 방법론의 하나로서 계획관리지역 내 주거용도와 공업용도 혼재 정도를 계량적으로 나타낼 수 있는 경관지수(landscape metrics)를 활용하는 방안을 제안하였다. 사례 지역 분석 결과 MARP와 PLADJ 두 지수가 주거-공업 혼재율을 계량화하는 데 적합한 것으로 판단된다. 그러나 모든 경관지수는 각각의 장단점이 있는 만큼 여러 지수를 참고하여 토지이용의 공간 분포를 다차원적으로 해석하는 방법을 추천한다.이상의 연구 결과를 토대로 향후 계획관리지역의 친환경적 개발을 유도할 수 있는 관리방안을 모색하였다. 전문가 세미나, 관계 기관 의견 수렴, 선행 연구 검토, 연구진 논의 등을 거쳐 계획관리지역 변경에 대한 관리 강화, 계획적 공장입지 유도, 공장 인·허가 관리 개선, 사업장 사후관리 체계 개선, 기존 난개발 지역에 대한 지원 차원에서의 관리방안을 제안하였다.                                    "
162,환경영향평가 설명회ㆍ공청회 운영 현황 분석,"조공장,주용준,",기초연구,2015-11-24,"제1장 서 론1. 연구 배경 및 목적2. 연구 내용 및 구성제2장 환경영향평가와 주민참여 규정1. 주민참여 관련 규정2. 설명회 관련 규정3. 공청회 관련 규정제3장 설명회 및 공청회 운영 사례1. 설명회？공청회 운영 사례2. 주요 이슈 및 개선방향제4장 결 론참고문헌Abstract본 과제는 환경영향평가의 설명회 및 공청회 운영현황을 분석하고 개선방향을 도출하는 것을 목적으로 한다.제도의 분석으로는 환경영향평가법과 동법 시행령, 동법 시행규칙의 규정을 주민참여부분, 설명회부분, 공청회부분으로 나누어 정리하여 각각의 특징을 정리하였다. 공청회부분에서는 일본 가와사키 시의 공청회 관련 조례의 내용을 참조하였다.   운영현황의 분석으로는 이미 실시된 설명회와 공청회의 녹취록과 평가서를 분석하여 운영상의 문제점을 도출하였다.본 연구에서 도출된 문제점 및 개선방향은 다음과 같다.첫째, 설명회 운영현황 및 문제점으로는 설명회에서 사업계획 변경에 대한 책임이 없는 자가 답변함으로써 주민의 의견에 대응하기 어렵다는 점, 설명회의 내용이 어려워서 주민들이 이해하기 어렵다는 점이 지적되었다. 설명회 운영 관련 개선방향으로는 설명회에 사업자 내부의 책임 있는 자가 답변에 나설 것, 환경영향평가 해설사 또는 환경영향평가 상담창구를 마련하는 방안 등이 제시되었다.둘째, 공청회 운영현황 및 문제점으로는 공청회를 사업자가 주관하니 주민이나 전문가의 의견이 결국 사업자의 판단대로 처리된다는 점, 공청회 진행이 쌍방향적인 토의보다는 각각의 진술과 답변이 일회성에 그친다는 점이 지적되었다. 이에 대한 개선방향으로는 사업자가 아닌 협의기관(또는 승인기관)이 사업자와 주민 등의 견해 차이를 듣는 자리로서 자리매김할 것(즉 협의기관이 또는 승인기관이 주관할 것), 그리고 공청회 진행을 사업자와 주민의 토의를 반복하여 논점을 명확히 하는 운영방안 등이 제시되었다.  셋째, 주민참여 절차 생략에 대한 이슈가 제시되었다. 절차생략과 관련한 운영현황 및 문제점으로는 주민의 반대 등으로 설명회 및 공청회가 무산된 경우에 생략할 수 있도록 한 13조 관련사항과, 전략환경영향평가 때 주민의 의견을 수렴한 경우에는 환경영향평가의 주민참여를 생략할 수 있도록 한 25조 관련 사항이 타당한지 여부가 지적되었다. 개선방향으로는 두 가지가 제시되었다. 먼저 13조와 관련하여서는 설명회 공청회가 무산된 경우에 화상회의를 개최하거나 승인기관 주최의 의견수렴회를 개최하는 등의 대체수법을 마련해야 하는 것이고, 25조와 관련하여서는 전략환경영향평가와 환경영향평가의 성격이 다르므로 중복되지 않는 것에 대해서는 의견수렴이 가능하도록 하는 방안을 마련하는 것이다. 본 연구는 기초연구로서 설명회 및 공청회의 운영현황과 개선방향을 제시하였으며, 후속과제로서 상세한 분석과 개선방안을 마련하는 연구가 필요할 것이다.                                    "
163,도로 및 철도사업의 토양분야 환경영향평가 사례연구,"신경희,,",기초연구,2015-11-19,"제1장 서 론1. 연구 배경 및 목적2. 연구 내용 및 구성제2장 도로 및 철도로 인한 토양오염 현황1. 토양측정망 및 토양오염 실태조사가. 제도 운영나. 도로 및 철도부지 토양오염도2. 국내외 오염사례가. 언론보도나. 학술논문다. 오염특성제3장 도로 및 철도사업의 환경영향평가 현황1. 국내 사례가. 환경영향평가서 작성 및 검토2. 국외 사례3. 시사점제4장 환경영향평가 개선방안1. 환경영향평가서 작성 개선방안2. 식물정화공법 적용 가능성 검토가. 국외 가이드라인 및 학술논문나. 국내 조경 기준참고문헌Abstract본 연구는 도로 및 철도 운영으로 인한 토양오염의 발생 정도를 관련 조사 자료를 토대로 확인하고 국내외 환경영향평가 사례 및 지침들을 조사·분석하여 향후 도로 및 철도사업의 환경영향평가 시 적용 가능한 운영 시 오염 저감방안의 도입 가능성을 확인하고자 수행되었다. 기존 도로 및 철도로 인한 토양오염 유발 여부 및 정도를 파악하기 위해 환경부의 ‘토양측정망 및 토양오염 실태조사 결과’ 자료, 학술논문 및 언로보도 자료를 조사하였다. 조사결과, 오염 수준은 우려 기준에 비해 낮은 수준이나 도로 및 철도부지의 경우 공장용지와 유사하게 평균보다 매년 다소 높은 값을 나타내고 있음을 확인할 수 있었다. 실태조사 결과에서도 교통관련시설지역이 매년 우려 기준을 초과하는 지점에 포함되는 등 도로 및 철도시설로 인한 오염개연성을 확인하였다. 언론보도와 학술논문 자료를 통해서도 토양오염 발생 사례를 알 수 있었다. 도로 및 철도사업의 환경영향평가서 작성현황을 살펴보기 위한 국내 조사로는 (전략)환경영향평가서의 전문검토기관인 KEI의 평가서 작성 가이드라인의 내용을 중점적으로 조사하였으며, 국외 조사로는 미국의 대규모 도로사업 및 철도의 환경영향평가서(Environmental Impact Report, EIR)와 관련 지침을 조사하였다. 국내 환경영향평가서의 경우 모든 사업에 해당하는 공통사항인 지장물 조사 및 오염현황조사에 국한되어 평가가 이루어지고 있었으며, 저감방안 또한 공사 시 폐유 및 화약류 관리에만 한정되어 있었다. 도로 및 철도사업 공통으로 운영 시 장기적 토양오염에 관한 고려가 미미한 실정이었다. 미국 환경영향평가서 조사 결과에 따르면, 수질과 폐기물 분야에서 중금속과 유류에 의한 토양오염을 다루고 있음을 확인할 수 있었다. 특히 장기적？누적적인 영향을 강조하고 있었으며, 가솔린의 배기가스 영향 및 납 함유 페인트를 오염원으로 평가하고 있었다. 또한 저감시설로서 Bio-filtration과 같은 보다 적극적인 우수 유출 관리를 도입하도록 제안하고 있는 것이 특이한 사항이었다. 이러한 연구결과를 바탕으로 도로 및 철도시설 운영 시 토양오염 발생을 저감하기 위한 환경영향평가 개선방안을 제안하였다. ① 수환경 분야의 우수처리계획의 보완: 현재 우수처리와 비점오염 저감을 위해 설치되는 저류형과 여과형 처리시설의 설치와 연계하여 장기적으로는 우수 내 중금속과 유류 등의 오염물질을 수집, 처리하는 기술 또는 장치의 도입을 유도할 필요가 있다. ② 폐기물 분야와의 연계: 철도시설의 경우 선로에 의한 영향이나 철도차량에 의한 오염보다는 차량기지 시설로 인한 오염개연성이 높다. 이는 적절한 유류보관과 관련 폐기물의 처리가 중요함을 의미한다. ③ 생물학적 처리 또는 생물학적 저감의 도입: 장기적·누적적으로 영향이 나타난다는 특징을 고려하여 볼 때, 생물학적 처리의 개념을 적극 도입하는 것이 효과적일 수 있다. 식물정화기법과 같이 저농도·광범위의 토양오염에 효과적인 처리기술의 도입 가능성을 고려해야 한다. 마지막으로 식물정화기법의 기본개념과 처리 효율 관련 내용을 담은 지침과 국내 가로수 조성 관련 지침 조사를 통해 식물정화기법의 도입 가능성을 제시하였다.                                    "
164,통계로 본 기후ㆍ대기환경,"한국환경정책ㆍ평가연구원,,",수탁연구,2015-10-31,01. 기후변화 - 원인 1.1 온실가스 배출  1.2 에너지 소비 1.2.1 최종에너지 소비량  1.2.2 에너지 원단위  1.2.3 1인당 에너지 소비량  1.2.4 전력 소비량 02. 기후변화 - 상태 2.1 기상요소 변화  2.1.1 기온상승  2.1.2 강수량 변화  2.1.3 극한기후 발생 2.2 사회 · 경제적 변화  2.2.1 해수면 상승  2.2.2 농업 · 수산업 영향  2.2.3 보건적 영향 2.3 생태계 변화 03. 기후변화 - 대응 3.1 온실가스 감축  3.1.1 온실가스 감축정책  3.1.2 재생에너지  3.1.3 친환경 교통수단  3.1.4 녹색건축물  3.2 기후변화 적응 3.3 녹색 기술·생활 04. 대기오염 - 원인 4.1 대기오염물질 배출 현황 4.2 대기오염 배출원 4.2.1 사업장(점오염원) 현황 4.2.2 자동차(선오염원) 운행  4.2.3 연료의 소비 05. 대기오염 - 상태  5.1 대기오염도 현황  5.1.1 대기환경기준  5.1.2 대기오염물질 농도  5.1.3 대기 중금속 농도  5.1.4 휘발성유기화합물(VOCs) 농도     5.2 대기오염 경보 및 주의보 06. 대기오염 - 대응 6.1 대기오염 우심지역 관리 6.2 배출시설(사업장) 관리  6.3 자동차 배출가스 관리                                     
165,친환경적 행동의 불편비용과 정책적 시사점,"강만옥,구윤모,이미숙,정재현,",기본연구,2015-10-31,제1장 서 론1. 연구의 필요성 및 목적2. 주요 연구내용 및 범위3. 연구 방법제2장 친환경적 행동과 불편비용1. 친환경적 행동가. 친환경적 행동의 정의나. 친환경적 행동 관련 정책수단다. 친환경적 행동 관련 선행연구2. 불편비용가. 불편비용의 정의나. 불편비용 관련 선행연구3. 친환경적 행동의 불편비용제3장 친환경적 행동에 대한 국민의식 분석1. 분석 개요2. 소셜 빅데이터 분석 결과가. 쓰레기 처리 실천 부문나. 대중교통 이용 실천 부문다. 에너지 절약 실천 부문라. 친환경 제품 구매 실천 부문제4장 친환경적 행동의 불편비용 추정1. 기초 설문 결과가. 설문 설계나. 환경보호에 대한 인식 결과다. 친환경 행동에 대한 태도 및 실천라. 생활/음식물 쓰레기 분리수거 불편사항마. 대중교통 이용 불편사항2. 친환경적 행동의 불편비용 추정 결과가. 쓰레기 분리수거에 따른 불편비용나. 대중교통 이용에 따른 불편비용3. 친환경적 행동의 불편 해소에 대한 지불의사금액가. 쓰레기 분리수거의 불편 해소 WTP나. 대중교통 이용의 불편 해소 WTP제5장 결론 및 시사점참고문헌부록Abstract                                    
166,육상 생태 보호지역 확대 추진 방안 연구,"이수재,이현우,이충기,홍현정,김수연,강가령,김보현,",기본연구,2015-10-31,제1장 서 론1. 연구의 배경 및 필요성2. 연구의 목적3. 연구 범위가. 시간적 범위나. 공간적 범위다. 내용적 범위4. 관련 연구5. 연구방법 및 추진체계가. 연구방법나. 연구 추진체계제2장 보호지역 개요1. 보호지역의 개념2. 아이치 대상목표 11에 의한 육상 및 해상 지역의 구분가. 육상 및 내수 지역(Terrestrial and Inland Water Area)나. 연안 및 해상 지역(Coastal and Marine Area)3. 생물다양성 협약에서 보호지역 확대 관련 논의 동향4. 보호지역 현황가. 국내나. 국제제3장 보호지역 범주 및 특성1. IUCN 보호지역 범주 분류2. 보호지역 확대 시 주의할 사항: 아이치 대상목표 11의 의미 해석가. 아이치 대상목표 11의 구성나. 보호지역의 대상 범위다. 보호지역의 감소라. 보호지역의 목표 비율에 대한 의미제4장 보호지역 확대전략 및 이행방안1. 보호지역 확대 기본 원칙2. 보호지역 확대 시 고려사항가. 보호지역 범주와 유형별 배분을 적정히 조화나. 범주의 유연한 활용다. IUCN 범주 이외의 것도 포함하고 중장기적으로 관리목표를 강화라. IUCN 범주별 관리 계획목표 75% 규칙을 적정하게 이용마. 신규 보호 유형을 최대한 발굴바. 장단기로 구분하여 단계별 접근사. 생태적 대표성 반영 점증 강화아. 비물질적 접근도 고려: 보호지역 트레이드 제도(PATS)3. 보호지역 확장 시 부문별 주요 실행 사항4. 보호지역 유형 분류 및 확장 시 접근 방법5. 보호지역 유형별 확대 방안가. 생태보호 목적 유형(PA(E))나. 생활/일부 생태 부수 목적 유형(PA(L))다. 생태보호 보완 목적6. 이행방안가. 법제도적 기반 마련나. 확대 전략별 우선 대상사업의 선정 및 실행다. 연구 개발을 통한 장기 대책라. 부문별 배분계획7. 보호지역 활용 방향제5장 결론 및 제언1. 결론2. 제언참고문헌Abstract                                    
167,"환경생태유량, 친수용수 등 물수요 변화에 대응하는 물환경 정책 개발 연구","김호정,구윤모,강형식,안종호,정아영,",기본연구,2015-10-31,제1장 서 론1. 연구 배경 및 목적2. 연구 내용 및 방법3. 선행연구의 검토4. 연구 관련 개념 정의제2장 물수요 현황과 하천유량 관련 법？제도1. 물이용 현황 및 수요 특성 분석가. 인간 활동과 관련된 물이용 현황나. 환경？생태계 측면의 물수요다. 물수요 특징 및 시사점2. 하천유량 관련 법제도가. 하천유량 관련 법률 및 주요 정책나. 수리권 제도다. 수생태계 및 친수활동 관련 수질 기준제3장 현행 하천유량 관련 정책의 잠재적 문제점1. 물관리 원칙의 미정립가. 부문별 필요유량의 우선순위？조정원칙의 부재나. 수리권 관련 분쟁 발생 및 조정원칙 미비2. 수생태계 특성의 미반영가. 대하천 중심의 평균적 유량 규정나. 이수 목적에 적합한 수질기준 미비3. 물이용 지속가능성 저해 우려가. 수질개선을 위한 신규 수자원 개발나. 과도한 환경생태유량 공급비용 발생4. 하천 관련 사업의 계획？추진 과정의 문제점제4장 물수요 변화를 고려한 물환경 정책 방안1. 수질？수생태계 환경기준의 재정립가. 수생태계 관련 환경기준의 신설나. 친수활동 유형을 고려한 수질기준 마련2. 생태적으로 중요한 중소하천에 대한 환경생태유량 산정？제안가. 현행 법체계 내에서의 협업체계 구축나. 하천유지유량 조정 및 배분 방식의 합리화다. 생태적으로 중요한 중소하천에 대한 전략적 접근라. 계절별 유량변동성의 고려3. 잠재적인 물이용 경쟁 부문 간의 조정방안 마련가. 용수가치 추정을 통한 배분의 기본 방향나. 경제적 분배？인센티브 제공을 통한 갈등조정 방안4. 향후 통합물관리법 제정을 고려한 정책 방안가. 생태계를 위한 유량 확보의 비전 및 원칙 제시나. 환경생태유량 확보를 위한 수자원인프라 운영 개선다. 수리권 제도 정비 및 수리권 관리 전문기구 설립제5장 결론 및 정책 제언1. 결론2. 정책 제언참고문헌부록1. 환경 목표와 기존 수리권 충돌 시 수리권 재할당 방안2. 캐나다 지역별 환경유량 가이드라인3. 미국 텍사스 주 하천유량 관리 프로그램4. 물자원의 가치 추정기법 및 용수배분 체계5. 뉴질랜드 국가환경기준의 비용？편익 산정 요소Abstract                                    
168,월경성 대기오염물질 관리를 위한 단계별 대응방안 연구,"이상윤,이승민,김이진,김인경,최도현,",기본연구,2015-10-31,제1장 서 론1. 연구의 목적2. 연구의 배경3. 연구의 주요내용 및 수행방법제2장 대기오염 관련 국제협약 현황 및 대응사례1. 대기오염 관련 국제협약 사례: 장거리이동 대기오염물질에 대한 협약2. 과학연구 관련 국제협약 사례: 기후변화에 관한 정부 간 협의체3. 대기오염 관련 법적 대응사례: 인도네시아 연무 피해에 대한 싱가포르의 입법적 대응사례가. 연무 오염문제의 발생과 그간의 대응노력나. 월경성 연무 오염법 제정다. 연무 오염법 시사점제3장 대기오염 관련 동북아 협력 현황 및 정책동향1. 동북아 중앙정부 간 협력 현황가. 한중일 환경장관회의(TEMM)나. 동북아환경협력계획(North East Asian Subregional Programme of Environmental Cooperation)다. 장거리이동 대기오염물질 공동연구 사업(Long-range Transboundary air Pollutants in Northeast Asia)라. 동아시아 산성 침전물 모니터링 네트워크(Acid Deposition Monitoring Network in East Asia)2. 동북아 지자체 간 협력 현황가. 지자체 양자 간 합의 현황나. 지자체 다자간 합의 현황3. 중국 대기질 관리를 위한 정책동향가. 대기오염방지 행동계획(2013-2017년)나. 중국 주요도시 대기질 개선 대책제4장 동북아 대기질 관리를 위한 대응방안 고찰1. 인식공동체 구축을 통한 대기질 개선 가능성가. 인식공동체나. 사용 가능한 지식(Usable Knowledge)2. 온실가스 감축 정책 연계를 통한 대기질 개선 가능성가. 대기오염물질관리 정당성 확보나. 한중 대기오염물질관리 잠재력제5장 동북아 대기질 관리를 위한 단계별 대응전략1. 동북아 대기질 관리를 위한 단기적 방안가. 인식공동체 형성 방안나. 지자체 중심의 인식공동체 형성 방안2. 동북아 대기질 관리를 위한 중장기적 방안가. 인식공동체 강화 방안나. TEMM과 연계한 동반편익 추진 방안3. 한중 양자 간 협력을 위한 아이디어 구상제6장 결 론1. 연구결과 요약2. 정책적 시사점3. 향후 연구 주제참고문헌부록축약어Abstract                                    
169,지방자치단체 환경영향평가 조례운영현황 및 효율화 방안,"선효성,조공장,",기초연구,2015-10-19,"제1장 서 론1. 연구 배경 및 목적2. 연구 내용 및 방법제2장 지방자치단체 환경영향평가 조례 현황1. 환경영향평가의 별도 규정이 있는 지방자치단체가. 조례 절차 및 내용나. 환경영향평가 대상사업다. 환경영향평가 분야 및 항목2. 환경기본조례 내부에 환경영향평가 규정이 있는 지방자치단체제3장 지방자치단체 환경영향평가 운영현황1. 지방자치단체 환경영향평가 담당 부서 및 인원2. 지방자치단체 환경영향평가 운영 실적3. 지방자치단체 환경영향평가 심의위원회 구성 및 운영현황제4장 지방자치단체 환경영향평가 운영 사례1. 서울특별시가. 도입 배경나. 담당 부서 및 주요 업무다. 환경영향평가 대상사업 종류 및 규모라. 연도별/사업유형별 운영 실적마. 환경영향평가 협의업무 절차바. 환경영향평가 심의위원회 구성 및 운영2. 제주특별자치도가. 도입 배경나. 담당 부서 및 주요 업무다. 환경영향평가 대상사업 종류 및 규모라. 연도별/사업유형별 운영 실적마. 환경영향평가 협의업무 절차바. 환경영향평가 심의위원회 구성 및 운영제5장 지방자치단체 환경영향평가 효율화 방안1. 지방자치단체 환경영향평가 시행에 따른 문제점 및 개선방향가. 지방자치단체 환경영향평가의 필요성나. 지방자치단체 환경영향평가 조례 제정 및 시행에 따른 한계다. 지방자치단체 환경영향평가 활성화를 위한 지원방안2. 지방자치단체 환경영향평가 효율화 방안가. 환경영향평가 조례 도입나. 대상사업의 차별화다. 절차의 차별화제6장 결 론참고문헌Abstract지방자치단체 환경영향평가와 관련한 조례의 도입 및 운영현황을 분석하여 그에 따른 효율적인 운영방안을 제안하였으며 이를 위해 지방자치단체 환경영향평가 조례 분석과 설문조사를 통한 운영현황을 파악하였다.우선, 지방자치단체 환경영향평가 조례와 관련하여 환경영향평가를 시행하기 위한 별도의 조례를 보유하고 있는 지역과 환경기본조례의 내부에 환경영향평가 규정을 내포하고 있는 지역으로 구분할 수 있다. 특히, 환경영향평가의 별도 조례가 없는 지방자치단체의 경우 근거 규정이 없어 시행이 제대로 되고 있지 않은 점을 감안하면 친환경적인 개발을 유도하기 위한 환경영향평가 조례 도입이 필요하다.지방자치단체 환경영향평가의 운영 현황을 살펴본 결과로 환경영향평가를 전담하기 위한 부서의 마련과 함께 효율성 확보를 위한 담당 인원의 충당이 필요하다. 그리고 환경영향평가가 비교적 활발하게 이루어지고 있는 서울특별시와 제주특별자치도의 사례를 바탕으로 지방자치단체의 특성을 고려하여 환경영향평가를 활성화할 수 있는 방안 마련이 요구된다. 또한 지방자치단체 환경영향평가의 특성으로 볼 수 있는 심의위원회는 다양한 전문가 구성을 통한 심의회의 등의 효율적 운영방법을 통해 평가의 전문성 및 투명성을 확보할 수 있는 방향 설정이 필요하다.지방자치단체 환경영향평가에 대한 설문조사의 결과로 규제의 수단이라는 인식, 협의업무의 전문성 미흡 및 인력 부족, 심의위원회 전문가 인력 구성의 한계 등의 문제점을 제시하였다. 이를 개선하기 위한 방향으로 본 연구에서는 환경영향평가 조례 도입, 대상사업의 차별화, 절차의 차별화를 제안하였다. 환경영향평가와 관련한 별도 조례가 없는 지방자치단체의 경우 환경영향평가 조례 도입이 우선시되어야 하고 지방자치단체의 특성 및 여건 등을 고려한 대상사업 및 평가항목을 선정하여 승인기관과 협의기관의 동일성에 따른 평가의 적정성 및 투명성 확보를 위한 절차의 마련이 필요하다.                                    "
